V3.3.7.0 Spectrometer Data File
******************************************************
Spectrometer	_Tristan exUV-VIS-NIR (SN 1035)_200_1100_1035
Spectrum Name	REF-200_1100_1035-2008-4-24
Date of Measurement	2008-4-24 0:52:18
Number of Bands	1368
Spectrum Type	Irradiance
Integration Time (msec)	3,478
Cycles/Average	3
Resolution	3
Background Correction	FALSE
Dark Correction	TRUE
************ Start Spectral data *********************
Index	X:REF-200_1100_1035-2008-4-24	Y:REF-200_1100_1035-2008-4-24
827	781,1	0,4307
828	781,7	0,4414
829	782,3	0,7754
830	782,9	0,8258
831	783,4	0,6533
832	784	0,6235
833	784,6	0,6092
834	785,2	0,5386
835	785,8	0,567
836	786,4	0,5955
837	787	0,7538
838	787,6	0,7692
839	788,1	0,7071
840	788,7	0,8185
841	789,3	0,9299
842	789,9	0,9422
843	790,5	0,9544
844	791,1	0,7016
845	791,7	0,6621
846	792,3	0,6947
847	792,8	0,7274
848	793,4	0,7169
849	794	0,8232
850	794,6	0,9295
851	795,2	1,546
852	795,8	1,602
853	796,4	1,274
854	797	0,8368
855	797,6	0,5258
856	798,1	0,5567
857	798,7	0,5876
858	799,3	0,6061
859	799,9	0,5584
860	800,5	0,5135
861	801,1	0,4137
862	801,7	0,3549
863	802,3	0,3598
864	802,8	0,3647
865	803,4	0,3778
866	804	0,3909
867	804,6	0,3707
868	805,2	0,3505
869	805,8	0,3309
870	806,4	0,4537
871	807	0,5765
872	807,6	0,6752
873	808,1	0,6751
874	808,7	0,675
875	809,3	0,6043
876	809,9	0,4832
877	810,5	0,3836
878	811,1	0,3819
879	811,7	0,4083
880	812,3	0,4348
881	812,8	0,4364
882	813,4	0,3473
883	814	0,4399
884	814,6	0,5325
885	815,2	0,5602
886	815,8	0,588
887	816,4	0,3722
888	817	0,3849
889	817,5	0,3977
890	818,1	0,5217
891	818,7	0,5391
892	819,3	0,427
893	819,9	0,3259
894	820,5	0,3437
895	821,1	0,3615
896	821,7	0,7771
897	822,3	0,725
898	822,8	0,6729
899	823,4	0,5066
900	824	0,4836
901	824,6	0,4605
902	825,2	0,3931
903	825,8	0,4128
904	826,4	0,4324
905	827	0,5289
906	827,5	0,6543
907	828,1	1,015
908	828,7	0,9527
909	829,3	0,8909
910	829,9	0,5624
911	830,5	0,4658
912	831,1	0,3504
913	831,7	0,2588
914	832,2	0,1956
915	832,8	0,2052
916	833,4	0,2149
917	834	0,4212
918	834,6	0,4447
919	835,2	0,4218
920	835,8	0,4166
921	836,4	0,3698
922	837	0,322
923	837,5	0,2632
924	838,1	0,2014
925	838,7	0,162
926	839,3	0,1618
927	839,9	0,1688
928	840,5	0,1757
929	841,1	0,2144
